[0m[ INFO] [1435766961.548301742]: 57 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.191916 , 0.0232085 , -0.145754 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00756312 , -0.327155 , 0.0112626 , [0m
[0m[ INFO] [1435766961.581620933]: 58 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.193856 , 0.0164335 , -0.128183 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00697931 , -0.327182 , 0.00992049 , [0m
[0m[ INFO] [1435766961.615099674]: 59 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.195831 , 0.0110046 , -0.112426 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00735384 , -0.327202 , 0.00826582 , [0m
[0m[ INFO] [1435766961.648306029]: 60 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.195831 , 0.0110046 , -0.112426 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00735384 , -0.327202 , 0.00826582 , [0m
[0m[ INFO] [1435766961.681774121]: 61 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.195076 , -0.153218 , 0.19297 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00750721 , -0.327239 , 0.00802108 , [0m
[0m[ INFO] [1435766961.715091578]: 62 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.192636 , -0.0990224 , 0.156587 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00457061 , -0.327252 , 0.008791 , [0m
[0m[ INFO] [1435766961.748434437]: 63 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.192057 , -0.0638687 , 0.121075 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00366463 , -0.327187 , 0.010976 , [0m
[0m[ INFO] [1435766961.781674843]: 64 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.192603 , -0.0415187 , 0.0897799 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00383011 , -0.327085 , 0.0134339 , [0m
[0m[ INFO] [1435766961.815065426]: 65 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.193725 , -0.0277341 , 0.0626151 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00494335 , -0.326894 , 0.0172242 , [0m
[0m[ INFO] [1435766961.848394557]: 66 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.193725 , -0.0277341 , 0.0626151 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00494335 , -0.326894 , 0.0172242 , [0m
[0m[ INFO] [1435766961.881723365]: 67 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.197204 , -0.0111527 , 0.0312625 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00271873 , -0.327248 , 0.0105265 , [0m
[0m[ INFO] [1435766961.914974758]: 68 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.261968 , 0.0445501 , 0.120977 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00520694 , -0.326961 , 0.0149217 , [0m
[0m[ INFO] [1435766961.948406159]: 69 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.263675 , 0.0706325 , 0.0444688 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00675592 , -0.326895 , 0.0162699 , [0m
[0m[ INFO] [1435766961.981706063]: 70 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.264583 , 0.0502228 , -0.00237063 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00818039 , -0.326426 , 0.0222036 , [0m
[0m[ INFO] [1435766962.015075155]: 71 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.267972 , 0.0232579 , -0.00886357 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00906312 , -0.326642 , 0.0198174 , [0m
[0m[ INFO] [1435766962.048356674]: 72 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.267972 , 0.0232579 , -0.00886357 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.00906312 , -0.326642 , 0.0198174 , [0m
[0m[ INFO] [1435766962.081710770]: 73 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.275845 , 0.00521564 , -0.017454 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.0102892 , -0.326661 , 0.0193577 , [0m
[0m[ INFO] [1435766962.115137127]: 74 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.268928 , 0.0074006 , -0.0126733 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.0118443 , -0.32666 , 0.0185473 , [0m
[0m[ INFO] [1435766962.148401442]: 75 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.262806 , 0.000573512 , 0.0132647 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.0148423 , -0.326614 , 0.0169428 , [0m
[0m[ INFO] [1435766962.181695518]: 76 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.261689 , -0.00203356 , 0.0110857 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.0158251 , -0.326702 , 0.0147931 , [0m
[0m[ INFO] [1435766962.215023303]: 77 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.253862 , -0.00754724 , 0.00443342 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.0183251 , -0.326629 , 0.0131479 , [0m
[0m[ INFO] [1435766962.248416862]: 78 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.253862 , -0.00754724 , 0.00443342 ,  , elbowR: , -1.11022e-16 , -3.09243e-17 , 1 , -2.06826e-05 , elbowD: , 0.0183251 , -0.326629 , 0.0131479 , [0m
[0m[ INFO] [1435766962.281754725]: 79 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.254054 , -0.011746 , -0.0125496 ,  , elbowR: , -0.202981 , -0.259254 , 0.940343 , -0.0856809 , elbowD: , 0.0126654 , -0.419797 , -0.0476329 , [0m
[0m[ INFO] [1435766962.315106750]: 80 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.252227 , -0.0105546 , 0.000306189 ,  , elbowR: , -0.258319 , -0.284262 , 0.916631 , -0.1107 , elbowD: , 0.00548477 , -0.439621 , -0.0658523 , [0m
[0m[ INFO] [1435766962.348392724]: 81 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.251335 , -0.0139209 , -0.00421733 ,  , elbowR: , -0.304164 , -0.268973 , 0.903819 , -0.135088 , elbowD: , 0.000394994 , -0.453409 , -0.0759697 , [0m
[0m[ INFO] [1435766962.381656223]: 82 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.257241 , -0.013681 , -0.0310447 ,  , elbowR: , -0.344035 , -0.224308 , 0.897884 , -0.158526 , elbowD: , -0.00103025 , -0.462125 , -0.0833705 , [0m
[0m[ INFO] [1435766962.415065696]: 83 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.235958 , -0.0210733 , -0.0190939 ,  , elbowR: , -0.380411 , -0.155321 , 0.893991 , -0.178725 , elbowD: , 0.00466873 , -0.465019 , -0.0841992 , [0m
[0m[ INFO] [1435766962.448388013]: 84 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.235958 , -0.0210733 , -0.0190939 ,  , elbowR: , -0.380411 , -0.155321 , 0.893991 , -0.178725 , elbowD: , 0.00466873 , -0.465019 , -0.0841992 , [0m
[0m[ INFO] [1435766962.481698963]: 85 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.2087 , -0.0320893 , -0.000398265 ,  , elbowR: , -0.440069 , 0.0441843 , 0.863715 , -0.241625 , elbowD: , 0.0349833 , -0.475953 , -0.058431 , [0m
[0m[ INFO] [1435766962.515091810]: 86 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.195399 , -0.041443 , 0.0356814 ,  , elbowR: , -0.413263 , -0.0131782 , 0.87572 , -0.249309 , elbowD: , 0.0473721 , -0.480832 , -0.0416319 , [0m
[0m[ INFO] [1435766962.548391290]: 87 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186155 , -0.0490663 , 0.0706807 ,  , elbowR: , -0.384545 , -0.0693892 , 0.888737 , -0.239701 , elbowD: , 0.0509678 , -0.479787 , -0.0264072 , [0m
[0m[ INFO] [1435766962.581651276]: 88 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186115 , -0.0490616 , 0.0708186 ,  , elbowR: , -0.347966 , -0.0974912 , 0.905479 , -0.22254 , elbowD: , 0.0465289 , -0.473207 , -0.0138625 , [0m
[0m[ INFO] [1435766962.615061239]: 89 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.182777 , -0.0523516 , 0.101895 ,  , elbowR: , -0.299822 , -0.141604 , 0.921486 , -0.202284 , elbowD: , 0.0432057 , -0.463681 , 0.000436044 , [0m
[0m[ INFO] [1435766962.648417120]: 90 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.182777 , -0.0523516 , 0.101895 ,  , elbowR: , -0.299822 , -0.141604 , 0.921486 , -0.202284 , elbowD: , 0.0432057 , -0.463681 , 0.000436044 , [0m
