[0m[ INFO] [1435600677.273268474]: 90 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.247941 , -0.0202602 , -0.0052864 ,  , elbowR: , 0.0189502 , -0.501601 , 0.864311 , -0.0316835 , elbowD: , 0.0318338 , -0.373229 , -0.271269 , [0m
[0m[ INFO] [1435600677.306596103]: 91 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.246322 , -0.0190911 , -0.00802601 ,  , elbowR: , 0.0292442 , -0.497302 , 0.866511 , -0.0315349 , elbowD: , 0.0303291 , -0.376453 , -0.269156 , [0m
[0m[ INFO] [1435600677.339941630]: 92 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.247741 , -0.0190807 , -0.00321725 ,  , elbowR: , 0.035163 , -0.49887 , 0.86555 , -0.0267504 , elbowD: , 0.0266043 , -0.378121 , -0.270713 , [0m
[0m[ INFO] [1435600677.373268664]: 93 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.246397 , -0.0179903 , -0.00368737 ,  , elbowR: , 0.0425865 , -0.510891 , 0.85818 , -0.0265177 , elbowD: , 0.0272071 , -0.380891 , -0.268001 , [0m
[0m[ INFO] [1435600677.406558739]: 94 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.246893 , -0.0171097 , -0.00465081 ,  , elbowR: , 0.0418864 , -0.521172 , 0.852142 , -0.0218909 , elbowD: , 0.0251897 , -0.38121 , -0.271665 , [0m
[0m[ INFO] [1435600677.439937381]: 95 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.247216 , -0.0156957 , -0.00338529 ,  , elbowR: , 0.0434941 , -0.516331 , 0.85499 , -0.0224002 , elbowD: , 0.0262374 , -0.385785 , -0.265861 , [0m
[0m[ INFO] [1435600677.473154945]: 96 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.246742 , -0.0148805 , -0.00398988 ,  , elbowR: , 0.0424208 , -0.516748 , 0.85464 , -0.0275948 , elbowD: , 0.0275301 , -0.384058 , -0.269036 , [0m
[0m[ INFO] [1435600677.506461285]: 97 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245962 , -0.0141206 , -0.00491965 ,  , elbowR: , 0.03671 , -0.519772 , 0.853111 , -0.0262763 , elbowD: , 0.0291126 , -0.382252 , -0.271477 , [0m
[0m[ INFO] [1435600677.539828423]: 98 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.247708 , -0.014969 , -0.000884294 ,  , elbowR: , 0.0358035 , -0.524785 , 0.850032 , -0.0276453 , elbowD: , 0.0321703 , -0.383311 , -0.273115 , [0m
[0m[ INFO] [1435600677.573222501]: 99 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.24858 , -0.0160396 , -0.00407161 ,  , elbowR: , 0.0306488 , -0.519077 , 0.853582 , -0.0318998 , elbowD: , 0.0349498 , -0.383064 , -0.271241 , [0m
[0m[ INFO] [1435600677.606617630]: 100 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.248553 , -0.0160504 , -0.00405963 ,  , elbowR: , 0.0243768 , -0.523524 , 0.851007 , -0.0333941 , elbowD: , 0.0380844 , -0.386179 , -0.270458 , [0m
