ID,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,Class
92,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
93,0.199974,0.878083,0.889839,0.106829,-0.0583096,0.00892456,0.992526,0.108759,0.213297,0.68634,0.825787,0.102272,-0.0470644,0.552631,0.212201,0.438434,0.771272,0.154755,-0.0568876,0.00311088,0.986309,1
94,0.294504,0.792741,1.00222,0.0188824,0.113944,-0.0680212,0.990976,0.090178,0.122218,0.964682,0.802503,-0.0216652,-0.0648843,0.592714,0.230287,0.343484,0.96861,0.0684355,0.110298,-0.0644417,0.989443,1
95,0.199903,1.56526,-0.0443661,-0.0479599,-0.273747,0.00242241,0.960602,0.0696963,0.875812,-0.035042,0.112637,0.105474,-0.0575723,0.986344,0.177749,1.10534,-0.000553192,-0.0563819,-0.274724,-0.0224013,0.959607,0
96,0.313988,1.54236,-0.00442868,-0.0875222,-0.295974,0.0169931,0.951026,0.191975,0.855698,0.0527242,0.165892,0.0696787,-0.130503,0.974984,0.294402,1.08828,0.0743902,-0.0884535,-0.29803,-0.00721727,0.950422,0
97,-0.130601,1.58283,-0.00242324,0.00830124,0.887213,-0.145047,0.437887,-0.162817,0.919435,0.229649,0.0733491,0.639175,0.212968,0.735337,-0.195048,1.13665,0.10067,0.0177762,0.889538,-0.118639,0.440831,0
98,0.217946,1.06828,0.436353,-0.0375256,0.0329055,-0.0257345,0.998422,0.0808442,0.394173,0.492694,0.682145,0.077745,-0.0528145,0.725151,0.197069,0.619056,0.469527,-0.0345764,0.0329342,-0.0230985,0.998592,1
99,0.226911,0.87521,0.886585,0.106283,0.0842533,-0.0218941,0.990518,0.0725174,0.215584,0.71247,0.822911,0.047714,-0.035677,0.565038,0.197162,0.438997,0.767789,0.160699,0.0824415,-0.0219329,0.98331,1
100,0.231057,0.874929,0.883172,0.11218,0.0415221,-0.0346747,0.992214,0.0700124,0.217284,0.695132,0.824822,0.0747209,-0.027165,0.559774,0.196584,0.437001,0.760305,0.160395,0.0391098,-0.0306148,0.985803,1
101,0.0691875,1.56406,-0.101085,-0.0654373,-0.391355,0.147212,0.906029,0.131775,0.872525,-0.0197763,0.0700347,-0.0276037,-0.161592,0.983982,0.160161,1.1257,0.00349813,-0.066274,-0.393658,0.128176,0.907861,0
102,-0.182558,1.46566,-0.216574,-0.148814,-0.538402,0.339357,0.756845,0.0316197,0.889379,0.118423,0.14624,-0.19248,-0.016661,0.9702,-0.0248852,1.13309,0.0577968,-0.159778,-0.541784,0.335898,0.753733,0
103,0.206737,1.15054,0.446027,-0.0228241,0.0172054,-0.0251417,0.999275,0.0720584,0.474933,0.479439,0.681364,0.0972979,-0.0490542,0.723789,0.187117,0.700746,0.465848,-0.0202384,0.017277,-0.0192967,0.99946,1
104,0.120639,1.57494,-0.0642699,-0.0641235,-0.382206,0.110974,0.915146,0.139092,0.875186,-0.000146988,0.0253134,-0.0200684,-0.173326,0.984335,0.18449,1.12554,0.0282831,-0.0679962,-0.384106,0.0949143,0.915877,0
105,0.079726,1.58546,-0.0742755,-0.0675226,-0.362759,0.104085,0.923587,0.0936608,0.885398,-0.0048552,0.034515,0.00619033,-0.128188,0.99113,0.141597,1.13482,0.0188507,-0.0709882,-0.364021,0.0939388,0.923918,0
106,0.213506,1.19942,0.462072,-0.0224594,0.0274782,-0.0353701,0.998744,0.0637978,0.521794,0.495934,0.638871,0.0953791,-0.0377132,0.762446,0.184115,0.746066,0.481451,-0.0184764,0.0274526,-0.0305311,0.998986,1
107,0.206182,1.14176,0.401183,-0.0696492,0.0253718,-0.0168745,0.997106,0.0860793,0.466016,0.491136,0.688101,0.0975266,-0.0578523,0.7167,0.195947,0.69275,0.458992,-0.0577277,0.0257308,-0.0091564,0.997959,1
108,0.0967837,1.57268,-0.0493429,-0.018398,-0.0490786,-0.0209737,0.998405,-0.0455493,0.895439,-0.0196168,0.0451219,-0.428768,-0.047294,0.901047,0.0737053,1.12151,-0.0253631,-0.0366267,-0.0487778,-0.0271327,0.997769,0
109,0.182831,0.867612,0.88328,0.120082,-0.00508972,0.0388814,0.991989,0.123168,0.202622,0.666073,0.832734,0.11236,-0.0575943,0.539084,0.216375,0.432303,0.749453,0.174561,-0.00237574,0.0344787,0.98404,1
110,0.150531,1.35924,-0.0027563,-0.0569233,-0.381978,0.0793351,0.918999,0.137176,0.657008,0.0339681,0.113457,-0.0140991,-0.213722,0.970181,0.192986,0.904174,0.0719179,-0.0571424,-0.382929,0.0677555,0.919516,0
